# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: 0(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2056,-0.0110989,0.00771547,0.103137,-0.0737562,0,0,0.0608866,0.122171,-0.00156458,0.00309805,0.0299783,-0.105138
2056.7,-0.010864,0.00818407,0.10256,-0.0746757,0,0,0.0637085,0.120823,-0.00145479,0.00317903,0.0269253,-0.105972
2057.4,-0.0106098,0.00863509,0.101836,-0.0754547,0,0,0.066328,0.11924,-0.00133976,0.00324211,0.0238501,-0.106718
2058.1,-0.0103575,0.00908587,0.101329,-0.0764499,0,0,0.0691266,0.117875,-0.00119908,0.0033154,0.0207641,-0.107388
2058.8,-0.0100578,0.00950363,0.100721,-0.0772534,0,0,0.0716799,0.116271,-0.00106162,0.00337867,0.0177112,-0.107934
2059.5,-0.00976146,0.00994647,0.100072,-0.0781605,0,0,0.0743866,0.114661,-0.000929115,0.00343664,0.01453,-0.108429
2060.2,-0.0094286,0.0103541,0.0992649,-0.0789479,0,0,0.076877,0.112805,-0.000789788,0.00346798,0.0113828,-0.108815
2060.9,-0.00911579,0.0107825,0.0987695,-0.079892,0,0,0.0794737,0.111257,-0.000686425,0.00352934,0.00827888,-0.109106
2061.6,-0.00874246,0.0111383,0.0979943,-0.0805644,0,0,0.0818308,0.109301,-0.000527269,0.00356561,0.00514331,-0.109302
2062.3,-0.00836183,0.0115238,0.0973821,-0.0815337,0,0,0.0844133,0.107483,-0.000398476,0.0035941,0.00193959,-0.109421
2063,-0.00796194,0.0119138,0.0967293,-0.0824328,0,0,0.0868987,0.105651,-0.000251088,0.00366178,-0.00120869,-0.109451
2063.7,-0.00760762,0.0123103,0.0963933,-0.0833963,0,0,0.0893634,0.104035,-0.000108401,0.0036791,-0.00426232,-0.109396
2064.4,-0.00716532,0.0125977,0.095416,-0.0839745,0,0,0.0914629,0.101683,4.42257e-05,0.00368588,-0.00743219,-0.109222
2065.1,-0.00668845,0.0129171,0.0946177,-0.0847629,0,0,0.0937577,0.0995644,0.000192763,0.00373675,-0.0106195,-0.108964
2065.8,-0.00626457,0.0132375,0.0939379,-0.0856089,0,0,0.0960288,0.0974708,0.00034133,0.00372275,-0.0137718,-0.108628
2066.5,-0.00578868,0.0135225,0.0932906,-0.0863939,0,0,0.0982361,0.0953131,0.0004978,0.00371841,-0.0168902,-0.108196
2067.2,-0.00531089,0.0137762,0.0927344,-0.0871481,0,0,0.10032,0.0933001,0.000639822,0.00371413,-0.0198573,-0.1077
2067.9,-0.00484409,0.0140781,0.0921872,-0.0882155,0,0,0.102721,0.0911824,0.000807976,0.00373384,-0.0230145,-0.107094
2068.6,-0.00431417,0.0142422,0.0910866,-0.0887324,0,0,0.104373,0.0885158,0.000928099,0.00370085,-0.0261334,-0.106363
2069.3,-0.00382915,0.0145009,0.0907791,-0.0897896,0,0,0.106755,0.0865479,0.00108578,0.00367389,-0.0291249,-0.105613
2070,-0.00327053,0.0146539,0.0896497,-0.0903277,0,0,0.1084,0.0838106,0.0012205,0.00364496,-0.0322257,-0.104695
2070.7,-0.00272662,0.0148167,0.0890596,-0.0912102,0,0,0.110436,0.0815395,0.00139707,0.00359932,-0.0352154,-0.103743
2071.4,-0.00216783,0.0149555,0.0880865,-0.0918776,0,0,0.11212,0.0787917,0.00152891,0.00358828,-0.0382456,-0.102662
